iter	Passed	Remaining
0	122	122704
1	124	61958
2	125	41678
3	126	31524
4	127	25408
5	129	21385
6	130	18475
7	131	16299
8	132	14607
9	133	13245
10	135	12140
11	136	11229
12	137	10462
13	139	9797
14	140	9246
15	142	8736
16	143	8288
17	144	7886
18	145	7523
19	146	7188
20	147	6884
21	148	6616
22	150	6372
23	151	6150
24	152	5952
25	154	5769
26	155	5596
27	156	5426
28	157	5275
29	158	5136
30	160	5006
31	161	4879
32	162	4761
33	163	4648
34	164	4542
35	166	4445
36	167	4350
37	168	4264
38	169	4185
39	171	4107
40	172	4033
41	173	3964
42	175	3897
43	176	3837
44	177	3776
45	179	3715
46	180	3660
47	181	3604
48	182	3550
49	183	3493
50	185	3447
51	186	3398
52	187	3350
53	188	3305
54	189	3262
55	191	3219
56	192	3178
57	193	3138
58	194	3099
59	195	3061
60	196	3025
61	197	2990
62	198	2951
63	199	2922
64	201	2891
65	202	2859
66	203	2829
67	204	2801
68	205	2773
69	206	2746
70	207	2717
71	209	2693
72	210	2671
73	211	2648
74	212	2623
75	213	2599
76	214	2576
77	216	2553
78	217	2531
79	218	2510
80	219	2490
81	220	2470
82	222	2452
83	223	2434
84	224	2414
85	225	2395
86	226	2377
87	227	2359
88	228	2341
89	229	2325
90	231	2308
91	232	2292
92	233	2275
93	234	2259
94	235	2243
95	236	2223
96	237	2208
97	238	2192
98	239	2178
99	240	2164
100	241	2150
101	242	2136
102	243	2123
103	244	2110
104	246	2097
105	247	2084
106	248	2072
107	249	2060
108	250	2048
109	251	2037
110	252	2023
111	253	2012
112	254	2000
113	255	1989
114	257	1978
115	258	1968
116	259	1957
117	260	1948
118	261	1939
119	263	1930
120	264	1920
121	265	1911
122	266	1902
123	268	1893
124	269	1885
125	270	1873
126	271	1864
127	272	1856
128	273	1847
129	274	1840
130	276	1831
131	277	1823
132	278	1815
133	279	1807
134	281	1800
135	282	1792
136	283	1784
137	284	1775
138	285	1767
139	286	1759
140	287	1751
141	288	1743
142	289	1736
143	290	1728
144	291	1720
145	292	1713
146	293	1705
147	295	1698
148	296	1691
149	296	1680
150	297	1673
151	298	1666
152	299	1659
153	300	1652
154	301	1646
155	302	1639
156	304	1632
157	305	1626
158	306	1618
159	307	1612
160	308	1606
161	309	1600
162	310	1594
163	311	1588
164	312	1582
165	313	1576
166	314	1570
167	315	1564
168	317	1558
169	318	1553
170	319	1547
171	320	1541
172	321	1535
173	322	1530
174	322	1522
175	324	1517
176	325	1511
177	326	1506
178	327	1500
179	328	1495
180	329	1490
181	330	1484
182	331	1479
183	332	1474
184	333	1469
185	334	1464
186	335	1459
187	336	1455
188	337	1450
189	339	1445
190	340	1440
191	341	1435
192	342	1430
193	343	1426
194	344	1421
195	345	1416
196	346	1411
197	347	1407
198	348	1402
199	349	1398
200	350	1393
201	351	1389
202	352	1385
203	353	1380
204	354	1376
205	356	1372
206	357	1368
207	358	1363
208	359	1359
209	360	1355
210	361	1351
211	362	1347
212	363	1344
213	365	1341
214	366	1337
215	367	1334
216	368	1330
217	369	1326
218	370	1322
219	372	1319
220	373	1315
221	374	1312
222	375	1307
223	376	1304
224	377	1300
225	378	1296
226	379	1292
227	380	1289
228	381	1285
229	382	1281
230	383	1277
231	385	1274
232	386	1270
233	387	1267
234	388	1263
235	389	1260
236	390	1256
237	391	1253
238	392	1249
239	393	1246
240	394	1243
241	395	1239
242	396	1236
243	397	1232
244	398	1229
245	399	1225
246	401	1222
247	402	1219
248	403	1216
249	404	1212
250	405	1209
251	406	1206
252	407	1203
253	408	1200
254	409	1197
255	410	1193
256	411	1190
257	412	1187
258	414	1184
259	415	1181
260	416	1178
261	417	1175
262	418	1172
263	419	1169
264	420	1166
265	421	1163
266	422	1160
267	423	1157
268	424	1154
269	425	1151
270	426	1148
271	428	1145
272	429	1142
273	430	1140
274	431	1137
275	432	1134
276	433	1131
277	434	1129
278	435	1126
279	436	1123
280	437	1120
281	438	1117
282	439	1114
283	441	1111
284	442	1109
285	443	1106
286	444	1103
287	445	1100
288	446	1098
289	447	1095
290	448	1092
291	449	1089
292	450	1087
